,Name,Remix,Artist,Label,Genre,Release Date
0,Discovery,Original Mix,Hamdi,Jadu Dala,140 / Deep Dubstep / Grime,2022-09-14
1,TEK,Original Mix,Monty,1985 Music,140 / Deep Dubstep / Grime,2022-09-30
2,Skanka,Original Mix,Hamdi,DUPLOC,140 / Deep Dubstep / Grime,2022-05-11
3,Grinding Ft. High Tara,Mystic State Remix,An-ten-nae,Medicine,140 / Deep Dubstep / Grime,2022-10-07
4,Magenta,Original Mix,sumthin sumthin,Bassrush Records,140 / Deep Dubstep / Grime,2022-10-07
5,Obsidian Vortex,Original Mix,ATLiens,Bassrush Records,140 / Deep Dubstep / Grime,2022-09-16
6,Secrecy,Original Mix,Peekaboo,Deadbeats,140 / Deep Dubstep / Grime,2022-07-29
7,Elite,Original Mix,Säkä,Deadbeats,140 / Deep Dubstep / Grime,2022-08-26
8,Reaper (feat. JID),Monty & Visages Remix,Monty,Create Music Group,140 / Deep Dubstep / Grime,2022-06-24
9,Clutch,Original Mix,Ternion Sound,Deep Dark & Dangerous,140 / Deep Dubstep / Grime,2022-09-23
10,Bump This,Original Mix,Caspa,Ghost Town,140 / Deep Dubstep / Grime,2022-10-07
11,Spangled,Original Mix,Chee,Deadbeats,140 / Deep Dubstep / Grime,2022-10-07
12,Lunar Eclipsed,Original Mix,Strategy,1985 Music,140 / Deep Dubstep / Grime,2022-02-11
13,Trenches,Original Mix,Flowdan,Deadbeats,140 / Deep Dubstep / Grime,2021-08-13
14,Firing Line,The Widdler Remix,Flowdan,Spentshell Ltd,140 / Deep Dubstep / Grime,2022-10-14
15,Deep Space,Original Mix,A Hundred Drums,Deadbeats,140 / Deep Dubstep / Grime,2022-10-12
16,Murda,Original Mix,Mythm,Deadbeats,140 / Deep Dubstep / Grime,2022-08-26
17,Shaman,Original Mix,Kumarion,Wakaan,140 / Deep Dubstep / Grime,2022-08-16
18,Evil Lair,Original Mix,Peekaboo,Deadbeats,140 / Deep Dubstep / Grime,2022-07-29
19,Inhale,Original Mix,sumthin sumthin,Bassrush Records,140 / Deep Dubstep / Grime,2022-07-22
20,Light it Up,Original Mix,Caspa,Ghost Town,140 / Deep Dubstep / Grime,2022-10-07
21,Bare,Original Mix,Mythm,Infernal Sounds,140 / Deep Dubstep / Grime,2022-09-16
22,Desired State,Unkey Remix,J:Kenzo,Artikal Music UK,140 / Deep Dubstep / Grime,2022-09-16
23,Bumpy Road,Original Mix,Peekaboo,NIGHTMODE,140 / Deep Dubstep / Grime,2022-07-08
24,Shaolin,Original Mix,Saka (US),Gud Vibrations,140 / Deep Dubstep / Grime,2022-04-08
